,Manjanggul,Bijarim,Seopjikoji ,Seongsanilchul Provincial Marine Park,"Jeongbang Waterfall, Xu Fu exhibition, Chilshimni food specialized street",Jusangjeolli,"Cheonjiyeon Waterfall, Saeyeongyo office",Sanbangsan Mountain,The mystery of the road,Jejumok government office,Jeju Natural World Heritage Center,Halla Arboretum,Historic Site of Anti-Yuan Movement,Jeolmul Natural Recreation Forest,Bulgeun Oreum Natural Recreation Forest,Museum of Contemporary Art,11Course,"The Museum of Sex Health, Andeok Valley",9Course,Daejeong-eup,Andeok-myeon,"7Course, Jungmun Tourist Complex, Jungmun Marine Park Pacificland, Cheonjeyeon Falls, Ripley's Believe It or Not! Museum, Teddy Bear Museum, Play K-Pop Jeju",World Car Museum,Hwasun Gotjawal eco-tourism attractions forest,"Songaksan, Footprints hwaseokjji Management Office, Four Seasons beach, Four Seasons coast road, Hwasun golden sand beach",Mara Provincial Marine Park,Seogwipo Cross-country Bus Terminal ,Seogwipo Astronomical Science and Culture Center, Museum of world shell,Gidang Art Museum,Soingook Theme Park,hyeopjjae beach ,Suwolbong Peak,Sinjeju Rotary,off-season training camp,Jeju pottery Museum,Jeju kanran exhibition,"The culture street of pine park, Lee Joong-sup street, Seogwipo City Lee Joong-sup Art Gallery",Jungangno cross road,"Pyoseon-myeon, Pyoseon daily gym",1Course,2Course,5Course,Gujwa gym,"Jeju National Museum, Jeju National Sports Center",Namwon-eup,Dynamic maize,Dodubong Park ,Donnaeko,Sarabong Park,"Seongsan-eup, Sinyang seopjikoji the beach","Jeju Folk Village Museum, Pyoseon Haevichi beach",Pyoseon Haevichi beach,Jeju Pony Town,Hayo soesokkak the beach,Honinji Pond,Jungang Rotary,Seongsanpo Shell Museum,Pony Valley,Museum of the world sex,Maze Park,Andeok Living Gym,Oedolgae Rock,"Yongyeon, Yongduam Rock",Ilchulland,Jeju Haenyeo Museum ,Jeju Herb Dongsan,Blue Mountain Coffee theme park,Dongmun Rotary,Jeju 4.3 peace park,Namwon living gym,Jeju rehabilitation hospital,Keuneong,Gangchanghak b Stadium,International Peace Center Jeju,Jeju International Peace Center Jeju,Maehwa Theme Park -1,Maehwa Theme Park -2,The Da Vinci Museum,Daeyu industry,Hyodon-ri,Seogwipo all-weather a gate ball ground,Camellia Hill,Samyang-dong site,Seogwipo Citrus Museum,Seogwipo-si  Gungdojang,Seogwipo roller-skating rink,Jeju Sculpture Park,Seogwipo Natural Recreation Forest,Soam the Memorial hyeonjunghwa,"Alice's Adventures in Wonderland, Soingook Theme Park",Hwanggeumnyung goldeunhil hub farm -2,Jeju Glass Museum,Hankyong gym,Hwanggeumnyung goldeunhil hub farm -1,Toy Park,eongtto waterfall ,Yerae Ecology Experience Center,Jewon Apt,Jeju Greentea,Cheju folklore and national history museum,Sports Stadium,Hyuaeri,Kim Jeong-hui's House of Exile,anti-Japan memorial hall,Korea Baseball Hall of Fame,Gimjeong Cultural Center,Birthplace of Beopjeongsa,Jeju Museum of Art,Gwakjji gwamul beach,Museum of Education,Ido Park,"Jeju anti-Japan memorial hall, Jocheon gym",deer ecology observation center,Aewal Ocean Front National Sports Center,Jeju dinosaurs Museum ,Jeju chusagwan,natural-lover gallery,Liquorium,Daejeong Culture and Sports Center,Hanlim gym,water transport park ,Film Culture center,Aewol gym,ioteu beach,Intercity Bus Terminal
Camellia Hill,0.000758725,0.000758725,0.001517451,0.002276176,0.019726859,0.053869499,0.075872534,0.048558422,0.003793627,0.001517451,0,0.000758725,0.002276176,0.000758725,0,0.000758725,0.000758725,0.056145675,0.002276176,0.006828528,0.169954476,0.117602428,0.02276176,0.012139605,0.075113809,0.000758725,0.010622155,0,0.018968134,0,0.012898331,0.006069803,0.001517451,0.005311077,0.001517451,0,0.056904401,0.025796662,0,0.001517451,0,0,0.001517451,0.000758725,0,0.000758725,0.002276176,0.006069803,0.003793627,0.000758725,0.006069803,0.005311077,0.002276176,0,0.009104704,0,0.006069803,0,0,0.000758725,0.015933232,0.002276176,0.019726859,0.007587253,0,0,0.000758725,0,0.002276176,0,0,0,0,0,0.002276176,0.001517451,0.000758725,0.010622155,0.005311077,0.006828528,0,0,0,0,0,0,0.000758725,0.018968134,0.001517451,0,0.004552352,0.000758725,0.003034901,0,0.000758725,0.002276176,0.000758725,0,0.003793627,0.001517451,0,0.000758725,0.002276176,0,0,0,0.000758725,0,0.000758725,0.007587253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008345979,0.000758725
Samyang-dong site,0.023809524,0.011904762,0.011904762,0.023809524,0.011904762,0,0,0,0,0.05952381,0.011904762,0,0,0.023809524,0,0,0,0,0,0,0.011904762,0.011904762,0,0,0,0,0,0,0,0,0,0,0,0.05952381,0.011904762,0,0,0,0.05952381,0.023809524,0.011904762,0,0,0,0.202380952,0.011904762,0,0,0.011904762,0.023809524,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0.047619048,0.011904762,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05952381,0,0,0.011904762,0,0,0.023809524,0,0,0,0,0.023809524,0,0.011904762,0.011904762,0,0,0,0,0,0,0,0,0.011904762,0,0,0.011904762,0.023809524
Seogwipo Citrus Museum,0.005555556,0.011111111,0.002777778,0.013888889,0.102777778,0.036111111,0.122222222,0.008333333,0,0,0,0,0,0.002777778,0.002777778,0,0,0.002777778,0,0.002777778,0.016666667,0.036111111,0.002777778,0,0.002777778,0.002777778,0.016666667,0.008333333,0.030555556,0.008333333,0,0,0,0,0,0,0.002777778,0.1,0,0.008333333,0.002777778,0,0.002777778,0.005555556,0.002777778,0.033333333,0.013888889,0.002777778,0.019444444,0,0.019444444,0.038888889,0.019444444,0,0.147222222,0,0.013888889,0,0,0.002777778,0.002777778,0,0.008333333,0.005555556,0.002777778,0,0.002777778,0.005555556,0.008333333,0,0,0.005555556,0,0,0.005555556,0,0,0,0,0,0.030555556,0,0,0,0,0,0.002777778,0.002777778,0.002777778,0,0,0,0,0,0,0,0,0,0.002777778,0,0,0,0.016666667,0,0,0.002777778,0,0,0.002777778,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005555556,0
Seogwipo-si  Gungdojang,0,0,0,0,0.010638298,0,0.021276596,0.010638298,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0.010638298,0,0,0.010638298,0,0.042553191,0,0.010638298,0,0,0,0,0,0,0,0,0.031914894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0.010638298,0,0.031914894,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0.691489362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seogwipo roller-skating rink,0,0,0,0,0.030927835,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0.030927835,0.010309278,0.010309278,0,0,0,0,0.030927835,0,0.020618557,0,0.010309278,0,0,0,0,0,0,0.020618557,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0.020618557,0,0,0,0.030927835,0,0.010309278,0,0,0,0.010309278,0,0.020618557,0,0,0,0,0,0,0,0,0.010309278,0,0.072164948,0,0,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0.010309278,0,0,0,0,0.010309278,0,0,0,0.082474227,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeju Sculpture Park,0,0,0,0.001763668,0.015873016,0.005291005,0.007054674,0.142857143,0,0,0,0,0,0,0,0,0.019400353,0.130511464,0.007054674,0.037037037,0.185185185,0.05643739,0.005291005,0.007054674,0.135802469,0.003527337,0.024691358,0.001763668,0.008818342,0,0.005291005,0.001763668,0.005291005,0.001763668,0,0,0.005291005,0.010582011,0,0.001763668,0,0,0,0,0.001763668,0,0,0,0.001763668,0,0.005291005,0.001763668,0,0,0.005291005,0,0.005291005,0,0,0,0.003527337,0.0335097,0.007054674,0.008818342,0,0,0,0,0.001763668,0,0.001763668,0,0,0.007054674,0,0,0,0.001763668,0.005291005,0,0.001763668,0.003527337,0.010582011,0,0,0,0,0,0.003527337,0,0.007054674,0.019400353,0.003527337,0.005291005,0,0.001763668,0.001763668,0,0.001763668,0,0,0,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001763668,0.003527337,0
Seogwipo Natural Recreation Forest,0,0.011764706,0.011764706,0,0.082352941,0.041176471,0.058823529,0.023529412,0.011764706,0,0,0.017647059,0,0,0.017647059,0.005882353,0,0.023529412,0,0.011764706,0.064705882,0.152941176,0,0,0.058823529,0,0.070588235,0.017647059,0.011764706,0.005882353,0,0.017647059,0.005882353,0,0,0,0.005882353,0.047058824,0,0,0,0,0,0,0.005882353,0,0.005882353,0,0.005882353,0.005882353,0.005882353,0,0,0,0.029411765,0,0.011764706,0,0,0,0,0,0.029411765,0.005882353,0,0,0,0.005882353,0.005882353,0,0,0,0,0,0.011764706,0,0,0.005882353,0,0,0,0.011764706,0,0,0.005882353,0,0.005882353,0,0,0,0,0,0,0,0,0.005882353,0,0.011764706,0,0,0,0,0.005882353,0.005882353,0,0,0.011764706,0.011764706,0,0.005882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005882353,0
Soam the Memorial hyeonjunghwa,0,0,0,0,0.378119002,0.001919386,0.013435701,0,0,0.001919386,0,0,0,0,0,0,0,0.001919386,0,0,0.026871401,0.003838772,0,0,0.001919386,0,0.011516315,0.001919386,0.026871401,0.015355086,0,0,0,0,0,0,0,0.309021113,0,0.003838772,0,0,0.001919386,0.001919386,0,0.001919386,0,0,0.001919386,0,0.001919386,0,0,0,0.005758157,0,0.007677543,0,0,0.001919386,0,0,0.007677543,0.001919386,0,0,0,0,0.126679463,0,0.001919386,0.013435701,0,0,0.001919386,0,0,0,0,0,0,0.009596929,0,0,0,0,0,0,0,0,0.001919386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011516315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alice's Adventures in Wonderland, Soingook Theme Park",0,0,0,0.005328597,0.007104796,0.024866785,0.008880995,0.021314387,0,0,0,0,0,0,0,0,0.001776199,0.019538188,0.003552398,0.012433393,0.110124334,0.024866785,0.017761989,0,0.039076377,0,0.005328597,0,0.010657194,0,0.536412078,0.014209591,0,0.001776199,0,0,0.019538188,0,0,0.003552398,0,0,0.001776199,0,0,0,0.001776199,0.001776199,0,0,0.003552398,0.001776199,0,0.001776199,0.005328597,0,0,0,0,0,0.005328597,0.001776199,0,0.001776199,0,0,0,0,0,0,0,0,0,0,0.001776199,0,0.005328597,0.005328597,0.005328597,0,0.001776199,0,0.01598579,0,0,0,0,0.012433393,0,0,0,0.008880995,0.001776199,0.008880995,0.003552398,0.001776199,0,0,0.001776199,0.001776199,0.003552398,0,0,0.003552398,0,0,0,0,0.001776199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwanggeumnyung goldeunhil hub farm -2,0,0,0,0,0.003496503,0,0,0.006993007,0,0.003496503,0,0,0,0,0,0,0.013986014,0.087412587,0,0.038461538,0.073426573,0.045454545,0.006993007,0,0.027972028,0.006993007,0,0,0.003496503,0,0.027972028,0.006993007,0.052447552,0,0,0.181818182,0.013986014,0.017482517,0,0,0,0,0,0,0,0,0.006993007,0.003496503,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0.003496503,0.003496503,0.003496503,0.003496503,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0.013986014,0,0,0,0.003496503,0,0,0.003496503,0,0,0.024475524,0,0,0.003496503,0,0.006993007,0.129370629,0.15034965,0.003496503,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0
Jeju Glass Museum,0,0,0,0,0.013888889,0.027777778,0.069444444,0.069444444,0,0,0,0,0,0.027777778,0,0,0.013888889,0.013888889,0,0,0.125,0.083333333,0.041666667,0,0.027777778,0,0.027777778,0,0.013888889,0,0,0,0,0,0,0,0.013888889,0.055555556,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0.013888889,0,0,0,0.013888889,0,0.027777778,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0.013888889,0.027777778,0,0,0.041666667,0,0,0,0,0.055555556,0,0,0,0.013888889,0,0,0,0.013888889,0,0,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hankyong gym,0,0,0,0,0.019607843,0,0.013071895,0.019607843,0,0.006535948,0,0,0,0.006535948,0,0.006535948,0.026143791,0.026143791,0,0.026143791,0.287581699,0.013071895,0,0,0.019607843,0,0.130718954,0,0,0,0.019607843,0,0.071895425,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0.006535948,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0.150326797,0,0,0.006535948,0.013071895,0,0,0.006535948,0,0,0.019607843,0,0,0,0,0,0,0,0.013071895,0,0,0,0,0.013071895,0,0,0,0,0.013071895,0.026143791,0,0,0.013071895,0,0
Hwanggeumnyung goldeunhil hub farm -1,0,0,0,0.00617284,0.00617284,0,0.00617284,0,0,0,0,0,0,0,0,0,0.00617284,0,0,0,0,0.030864198,0,0,0.00617284,0,0,0,0,0,0.00617284,0,0.030864198,0,0,0,0.00617284,0.00617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617284,0,0,0,0,0.00617284,0,0,0,0,0,0,0,0,0.87654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Park,0.002304147,0.001152074,0.001152074,0.010368664,0.001152074,0.004608295,0.005760369,0.012672811,0,0.004608295,0,0.001152074,0,0.001152074,0,0,0.001152074,0.024193548,0,0.006912442,0.498847926,0.013824885,0.008064516,0,0.004608295,0,0.005760369,0.001152074,0.004608295,0,0.004608295,0.003456221,0.001152074,0.005760369,0.001152074,0,0.269585253,0.003456221,0.001152074,0.002304147,0,0,0,0,0.002304147,0.001152074,0.003456221,0.005760369,0,0,0.005760369,0,0,0,0.002304147,0,0.003456221,0,0.001152074,0,0,0,0.004608295,0.004608295,0,0,0.001152074,0,0.001152074,0,0,0,0,0,0,0,0,0.003456221,0.008064516,0,0.002304147,0.001152074,0.001152074,0.001152074,0.003456221,0,0,0,0,0,0.004608295,0.001152074,0.001152074,0.001152074,0,0,0.001152074,0,0.004608295,0.001152074,0.001152074,0.001152074,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0.001152074,0,0,0,0,0.001152074,0,0,0,0,0.004608295,0.002304147
eongtto waterfall ,0,0.00297619,0,0.00297619,0.083333333,0.032738095,0.041666667,0.014880952,0,0,0,0.00297619,0,0,0.005952381,0,0,0.017857143,0.005952381,0,0.011904762,0.071428571,0,0,0.023809524,0.00297619,0.06547619,0,0.089285714,0.00297619,0,0,0.00297619,0,0,0,0.005952381,0.077380952,0,0.00297619,0.00297619,0,0,0,0.00297619,0,0,0,0.023809524,0,0.014880952,0.011904762,0.020833333,0,0.047619048,0,0.005952381,0,0,0.008928571,0.008928571,0,0.053571429,0,0,0,0,0.00297619,0,0,0,0.110119048,0,0.005952381,0.00297619,0,0,0,0.00297619,0.00297619,0.005952381,0.029761905,0,0,0,0,0.008928571,0.00297619,0.005952381,0,0,0,0.005952381,0,0,0.008928571,0,0.00297619,0,0.00297619,0,0,0,0,0,0.008928571,0.008928571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0
Yerae Ecology Experience Center,0,0,0,0,0.00990099,0.03960396,0.02970297,0.02970297,0,0,0,0,0,0,0,0,0,0.03960396,0.108910891,0.01980198,0.00990099,0.405940594,0.00990099,0,0.02970297,0,0.069306931,0,0.01980198,0.00990099,0,0,0,0,0,0,0.01980198,0.01980198,0,0,0,0,0,0,0,0,0,0,0,0,0.02970297,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0.00990099,0.02970297,0,0,0,0,0.00990099,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0
Jewon Apt,0.008605852,0.00172117,0,0.029259897,0.006884682,0.010327022,0.008605852,0.003442341,0,0.027538726,0,0.003442341,0.00172117,0.006884682,0,0,0.005163511,0.00172117,0,0,0.027538726,0.013769363,0,0,0.005163511,0,0.018932874,0,0.00172117,0,0,0.008605852,0,0.368330465,0.072289157,0,0.005163511,0.005163511,0.037865749,0.013769363,0,0,0.00172117,0,0.012048193,0.006884682,0.00172117,0.013769363,0.00172117,0.00172117,0.008605852,0.005163511,0.003442341,0.003442341,0,0,0.018932874,0,0.00172117,0,0.00172117,0,0.005163511,0.058519793,0,0.00172117,0,0,0.003442341,0.00172117,0,0.003442341,0,0,0,0,0,0,0,0,0.003442341,0,0.00172117,0.003442341,0,0,0,0,0,0,0.00172117,0,0,0,0,0.00172117,0,0,0,0,0.005163511,0.003442341,0.003442341,0,0,0,0,0,0.006884682,0.013769363,0,0.003442341,0.00172117,0,0.013769363,0,0,0,0,0,0.00172117,0,0,0.003442341,0.051635112,0.029259897
Jeju Greentea,0,0,0,0,0.045454545,0,0.045454545,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0.136363636,0.181818182,0,0,0.045454545,0,0.090909091,0,0,0,0.045454545,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0
Cheju folklore and national history museum,0.026627219,0.00591716,0.020710059,0.059171598,0.017751479,0.00887574,0.014792899,0,0.01183432,0.094674556,0.00295858,0.053254438,0.00295858,0.00591716,0.00295858,0,0,0,0,0,0.00591716,0.00295858,0,0,0.00591716,0,0,0,0.00295858,0,0,0.00591716,0.00295858,0.00887574,0.00295858,0,0,0.00295858,0.014792899,0.00295858,0.00591716,0,0,0.00295858,0.079881657,0,0.073964497,0.00591716,0,0.00887574,0.00295858,0,0.00295858,0,0,0,0,0,0,0,0,0,0,0.266272189,0,0.00591716,0,0,0.00591716,0.014792899,0,0.00295858,0,0,0,0,0,0,0.00295858,0,0,0,0.01183432,0.00887574,0.00295858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029585799,0,0,0,0,0,0.01183432,0,0,0,0.029585799,0.00295858,0.00591716,0,0,0,0,0,0,0,0,0,0,0,0,0.00295858,0.023668639,0
Sports Stadium,0.004950495,0.00990099,0,0,0,0,0.00990099,0.01980198,0,0.014851485,0,0.00990099,0.004950495,0.00990099,0,0.004950495,0,0,0,0.01980198,0.014851485,0.014851485,0,0.004950495,0.03960396,0,0.118811881,0,0.014851485,0,0,0,0.004950495,0.069306931,0.01980198,0,0.004950495,0.004950495,0.00990099,0.00990099,0.004950495,0,0.00990099,0.01980198,0.034653465,0.024752475,0.00990099,0.014851485,0,0.004950495,0.024752475,0.064356436,0,0,0.004950495,0,0.00990099,0,0.00990099,0.004950495,0,0,0.004950495,0.00990099,0.004950495,0.004950495,0.004950495,0.004950495,0,0.004950495,0.00990099,0,0,0,0,0,0,0,0,0,0.01980198,0,0.004950495,0.00990099,0,0,0,0.004950495,0,0,0,0,0,0.014851485,0,0,0,0.00990099,0.024752475,0,0.004950495,0,0,0,0,0,0.004950495,0,0.014851485,0.014851485,0.004950495,0.00990099,0.00990099,0,0.01980198,0,0,0,0,0,0.024752475,0.00990099,0,0,0.004950495,0.054455446
Hyuaeri,0.004926108,0.004926108,0.004926108,0.02955665,0.054187192,0.009852217,0.064039409,0.019704433,0,0,0,0,0,0.009852217,0.004926108,0,0,0.014778325,0,0,0.014778325,0.024630542,0.004926108,0,0.009852217,0.004926108,0.019704433,0.004926108,0.02955665,0,0.019704433,0.019704433,0,0.009852217,0.004926108,0,0,0.054187192,0,0.024630542,0.009852217,0,0.004926108,0,0.004926108,0.024630542,0,0,0.039408867,0,0.073891626,0.034482759,0.004926108,0.004926108,0.078817734,0,0.009852217,0,0,0,0.009852217,0,0.044334975,0.009852217,0,0,0.019704433,0.004926108,0.02955665,0.004926108,0,0,0.019704433,0,0,0,0,0,0,0,0.034482759,0,0.014778325,0,0.024630542,0,0,0,0,0,0,0,0,0,0,0,0.004926108,0,0.009852217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004926108,0,0,0,0,0,0,0,0,0,0.004926108,0
Kim Jeong-hui's House of Exile,0,0,0,0.003257329,0.016286645,0.026058632,0.006514658,0.052117264,0,0.006514658,0,0,0.003257329,0.003257329,0,0,0.006514658,0.06514658,0,0.042345277,0.013029316,0.016286645,0.003257329,0,0.218241042,0.016286645,0.029315961,0,0.009771987,0,0.019543974,0,0.009771987,0,0,0.009771987,0.009771987,0.035830619,0,0,0,0,0,0,0,0,0,0.003257329,0,0,0,0,0.003257329,0,0,0,0.003257329,0,0,0,0,0,0.019543974,0.003257329,0,0,0,0,0,0,0,0,0,0,0,0,0.003257329,0.009771987,0.003257329,0,0,0,0.003257329,0,0,0,0,0,0,0,0,0.003257329,0,0,0,0,0,0.003257329,0,0,0,0.003257329,0,0,0,0,0,0.003257329,0,0,0,0,0,0,0,0,0.309446254,0,0,0,0,0,0,0,0.003257329,0
anti-Japan memorial hall,0.070588235,0.023529412,0,0.023529412,0.011764706,0,0.011764706,0,0,0.011764706,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0,0,0,0,0.011764706,0,0,0,0,0,0,0.011764706,0,0,0,0,0.011764706,0,0,0,0,0,0.023529412,0,0.011764706,0,0,0.035294118,0.035294118,0,0,0,0,0,0,0,0,0,0,0,0,0.047058824,0,0.058823529,0,0,0,0.023529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0,0.011764706,0,0,0,0,0,0,0,0,0,0,0,0.458823529,0,0,0,0,0.011764706,0,0,0,0,0,0,0.011764706,0.011764706
Korea Baseball Hall of Fame,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0.009259259,0,0.064814815,0,0,0,0,0.046296296,0.009259259,0.037037037,0,0,0,0,0.018518519,0,0,0,0.074074074,0,0,0,0,0,0,0,0.009259259,0,0,0.018518519,0,0,0,0.009259259,0,0.009259259,0,0.092592593,0,0.009259259,0.027777778,0.009259259,0,0,0,0,0,0,0,0.037037037,0,0,0.018518519,0.009259259,0.212962963,0,0,0,0,0,0,0.046296296,0.027777778,0,0,0.009259259,0.027777778,0.083333333,0.018518519,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimjeong Cultural Center,0,0,0,0,0.088050314,0.006289308,0.031446541,0,0,0,0,0,0,0,0,0,0,0.006289308,0,0.006289308,0.018867925,0.044025157,0,0,0,0,0.20754717,0.094339623,0.056603774,0.050314465,0,0,0,0.018867925,0,0,0,0.113207547,0,0.018867925,0,0,0.006289308,0,0,0.037735849,0,0,0,0,0,0,0,0,0.012578616,0,0.018867925,0,0,0.018867925,0.018867925,0,0.012578616,0,0,0,0,0,0.006289308,0,0.006289308,0.012578616,0,0.006289308,0,0,0,0,0,0,0.006289308,0.025157233,0,0,0.012578616,0.006289308,0,0.018867925,0.012578616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birthplace of Beopjeongsa,0,0,0,0,0.083333333,0,0.041666667,0.020833333,0.104166667,0,0,0,0,0,0,0,0,0,0.020833333,0,0.0625,0.041666667,0,0,0.104166667,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0.0625,0,0.041666667,0,0,0,0,0,0,0,0.020833333,0.104166667,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0.020833333,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0.020833333,0,0,0,0,0,0.104166667,0,0,0.020833333,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0
Jeju Museum of Art,0.014084507,0.004694836,0,0.014084507,0,0.018779343,0.018779343,0,0.042253521,0.03286385,0,0.084507042,0,0.014084507,0,0.197183099,0,0,0.004694836,0.014084507,0.051643192,0.018779343,0,0,0.014084507,0,0.004694836,0,0,0,0,0.023474178,0.004694836,0.056338028,0.004694836,0,0,0.004694836,0.004694836,0.004694836,0,0,0,0,0.018779343,0.014084507,0,0.014084507,0,0.023474178,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0.004694836,0.056338028,0,0,0.004694836,0,0,0.004694836,0,0,0,0,0,0,0,0,0,0,0.004694836,0,0.004694836,0,0,0,0,0,0.009389671,0,0,0,0,0,0,0,0,0,0.037558685,0,0.014084507,0.009389671,0,0,0,0,0,0,0,0.018779343,0,0,0,0.009389671,0.004694836,0,0,0,0,0,0,0,0,0,0.0657277,0.014084507
Gwakjji gwamul beach,0.002487562,0.012437811,0,0.002487562,0.014925373,0.014925373,0.029850746,0.044776119,0.002487562,0.007462687,0,0.004975124,0.009950249,0.012437811,0,0.002487562,0.004975124,0.02238806,0.004975124,0.002487562,0.039800995,0.05721393,0.014925373,0,0.062189055,0.012437811,0.019900498,0,0.019900498,0,0.007462687,0.077114428,0.039800995,0.029850746,0,0,0.009950249,0.019900498,0.009950249,0.002487562,0.002487562,0,0.002487562,0.002487562,0.009950249,0.002487562,0.002487562,0.004975124,0,0,0.004975124,0.002487562,0.004975124,0,0.009950249,0.002487562,0.007462687,0,0,0,0.007462687,0,0.012437811,0.032338308,0,0.007462687,0,0,0.004975124,0,0,0,0,0,0.002487562,0,0,0.002487562,0,0,0,0,0.012437811,0,0,0,0,0.004975124,0,0,0.002487562,0.002487562,0,0,0.002487562,0.002487562,0.002487562,0,0.037313433,0,0.002487562,0,0.002487562,0,0,0,0,0,0,0,0,0,0,0,0.004975124,0,0,0,0,0,0.004975124,0,0,0.077114428,0.059701493,0.032338308
Museum of Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0.019230769,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0.019230769,0.019230769,0,0,0,0.038461538,0.019230769,0,0,0,0,0.211538462,0.076923077,0,0.019230769,0,0,0,0.019230769,0.019230769,0,0,0.019230769,0.019230769,0,0,0,0,0,0,0,0,0,0.019230769,0,0.057692308,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115384615,0,0,0,0,0,0,0,0,0.019230769,0,0.076923077,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0.019230769,0
